Year,Cause.Name,State,Deaths
2003,Suicide,South Carolina,476
2003,Suicide,South Dakota,102
2003,Suicide,Tennessee,762
2003,Suicide,Texas,2363
2003,Suicide,Utah,336
2003,Suicide,Vermont,83
2003,Suicide,Virginia,808
2003,Suicide,Washington,803
2003,Suicide,West Virginia,266
2003,Suicide,Wisconsin,647
2003,Suicide,Wyoming,109
2002,Suicide,Alabama,514
2002,Suicide,Alaska,132
2002,Suicide,Arizona,886
2002,Suicide,Arkansas,377
2002,Suicide,California,3228
2002,Suicide,Colorado,727
2002,Suicide,Connecticut,260
2002,Suicide,Delaware,74
2002,Suicide,District of Columbia,31
2002,Suicide,Florida,2338
2002,Suicide,Georgia,909
2002,Suicide,Hawaii,120
2002,Suicide,Idaho,202
2002,Suicide,Illinois,1145
2002,Suicide,Indiana,743
2002,Suicide,Iowa,314
2002,Suicide,Kansas,345
2002,Suicide,Kentucky,540
2002,Suicide,Louisiana,499
2002,Suicide,Maine,166
2002,Suicide,Maryland,477
2002,Suicide,Massachusetts,436
2002,Suicide,Michigan,1106
2002,Suicide,Minnesota,497
2002,Suicide,Mississippi,343
2002,Suicide,Missouri,693
2002,Suicide,Montana,184
2002,Suicide,Nebraska,201
2002,Suicide,Nevada,423
2002,Suicide,New Hampshire,132
2002,Suicide,New Jersey,553
2002,Suicide,New Mexico,349
2002,Suicide,New York,1228
2002,Suicide,North Carolina,986
2002,Suicide,North Dakota,91
2002,Suicide,Ohio,1287
2002,Suicide,Oklahoma,501
2002,Suicide,Oregon,518
2002,Suicide,Pennsylvania,1341
2002,Suicide,Rhode Island,86
2002,Suicide,South Carolina,440
2002,Suicide,South Dakota,94
2002,Suicide,Tennessee,778
2002,Suicide,Texas,2311
2002,Suicide,Utah,340
2002,Suicide,Vermont,92
2002,Suicide,Virginia,799
2002,Suicide,Washington,811
2002,Suicide,West Virginia,276
2002,Suicide,Wisconsin,627
2002,Suicide,Wyoming,105
2001,Suicide,Alabama,512
2001,Suicide,Alaska,102
2001,Suicide,Arizona,767
2001,Suicide,Arkansas,382
2001,Suicide,California,2831
2001,Suicide,Colorado,722
2001,Suicide,Connecticut,283
2001,Suicide,Delaware,108
2001,Suicide,District of Columbia,40
2001,Suicide,Florida,2314
2001,Suicide,Georgia,935
2001,Suicide,Hawaii,136
2001,Suicide,Idaho,210
2001,Suicide,Illinois,1139
2001,Suicide,Indiana,715
2001,Suicide,Iowa,304
2001,Suicide,Kansas,293
2001,Suicide,Kentucky,495
2001,Suicide,Louisiana,493
2001,Suicide,Maine,161
2001,Suicide,Maryland,454
2001,Suicide,Massachusetts,426
2001,Suicide,Michigan,1051
2001,Suicide,Minnesota,480
2001,Suicide,Mississippi,328
2001,Suicide,Missouri,725
2001,Suicide,Montana,175
2001,Suicide,Nebraska,187
2001,Suicide,Nevada,387
2001,Suicide,New Hampshire,167
2001,Suicide,New Jersey,588
2001,Suicide,New Mexico,362
2001,Suicide,New York,1253
2001,Suicide,North Carolina,997
2001,Suicide,North Dakota,79
2001,Suicide,Ohio,1219
2001,Suicide,Oklahoma,515
2001,Suicide,Oregon,505
2001,Suicide,Pennsylvania,1276
2001,Suicide,Rhode Island,88
2001,Suicide,South Carolina,467
2001,Suicide,South Dakota,105
2001,Suicide,Tennessee,711
2001,Suicide,Texas,2225
2001,Suicide,Utah,321
2001,Suicide,Vermont,72
2001,Suicide,Virginia,797
2001,Suicide,Washington,712
2001,Suicide,West Virginia,286
2001,Suicide,Wisconsin,639
2001,Suicide,Wyoming,83
2000,Suicide,Alabama,583
2000,Suicide,Alaska,137
2000,Suicide,Arizona,784
2000,Suicide,Arkansas,349
2000,Suicide,California,2969
2000,Suicide,Colorado,613
2000,Suicide,Connecticut,304
2000,Suicide,Delaware,82
2000,Suicide,District of Columbia,23
2000,Suicide,Florida,2086
2000,Suicide,Georgia,847
2000,Suicide,Hawaii,137
2000,Suicide,Idaho,167
2000,Suicide,Illinois,1003
2000,Suicide,Indiana,683
2000,Suicide,Iowa,289
2000,Suicide,Kansas,325
2000,Suicide,Kentucky,521
2000,Suicide,Louisiana,468
2000,Suicide,Maine,154
2000,Suicide,Maryland,474
2000,Suicide,Massachusetts,387
2000,Suicide,Michigan,974
